psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100439;2;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;1;0;1;1;2;2;1;2;2; ; ;71;1;5;3;6;129,7
100449;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88;5;2;3;3;129,8
100453;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;1;3;2;1;2;2; ; ;76;1;5;3; ;129,9
100459;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;76;1;3;3; ;129,9
100465;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;75;3;6;3;3;130,5
100467;3;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;2;1;2;1;2;2; ; ;64;5;4;3; ;130,5
100473;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2; ; ; ;64;1;2;3;2;130,5
100474;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;65;1;6;3; ;130,7
100478;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;55;3;5;5;6;130,9
100485;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49;7;3;4;1;131,2
100488;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19;2;5;2;5;131,4
100490;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;96; ;6;3;4;131,4
100491;3;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;1;2;2;2;2; ; ;59;1;3;3;2;131,5
100493;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;69;3;3;3;1;131,7
100495;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;2;2;1;2;2; ; ;65;1;6;3;5;131,7
100499;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;2;2;1;2;2; ; ;56;1;2;1;6;132
100503;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;2;1;2;1;2; ; ; ;63;1;3;3;4;132
100508;1;2;1;2;1;1;2;2;1;2; ; ; ; ; ; ; ;1;1;1;1;2;2;1;2;2; ; ;57;1;7;1;6;132,1
100509;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;56;1;3;1;5;132,1
100510;2;1;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;2;1;3;3;3;2;1;2;2; ; ;38;1;5;1;6;132,2
100514;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;70;1;3;3; ;132,4
100517;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;48;1;5;1;3;132,6
100518;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;63;4;3;3;4;132,6
100520;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;57;4;2;4;1;132,6
